dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,tcprtt,smean,trans_depth,ct_src_dport_ltm,ct_dst_sport_ltm,is_ftp_login,ct_flw_http_mthd,is_sm_ips_ports
0,udp,dns,INT,20,0,1784,0,3.925076,2801.265137,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
0,udp,\x2d,INT,1,0,211,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
0,udp,dns,INT,5,0,948,0,4.865233,7385.423828,0.0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0
0,udp,dns,INT,5,0,948,0,4.865233,7385.423828,0.0,0,0,0,0,0.0,0.0,0,0,0,1,2,0,0,0
0,udp,dns,INT,5,0,948,0,4.865233,7385.423828,0.0,0,0,0,0,0.0,0.0,0,0,0,2,3,0,0,0
0,tcp,ssl,CON,8,7,1157,4164,108.407799,62752.628906,221151.90625,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0
0,tcp,\x2d,CON,4,6,346,6615,34.055565,7870.619141,166887.390625,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0
0,udp,\x2d,CON,3,4,2660,1852,16.126345,38144.179688,29865.990234,0,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0
0,udp,dhcp,INT,2,0,728,0,0.374119,1089.434326,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
0,udp,dhcp,INT,2,0,1180,0,0.375721,1773.404175,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
0,udp,\x2d,CON,52,68,16471,62408,48.839828,53042.515625,201896.453125,0,0,0,0,0.0,0.0,0,0,0,3,0,0,0,0
0,tcp,\x2d,CON,53,57,44965,4438,22.308167,72232.617188,7140.250488,0,0,0,0,0.0,0.0,0,0,0,4,0,0,0,0
0,udp,quic,CON,80,95,16270,83086,349.438995,258135.0,1320831.25,0,0,0,0,0.0,0.0,0,0,0,5,0,0,0,0
0,udp,\x2d,INT,3,0,633,0,0.956158,1613.995239,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0
0,tcp,\x2d,CON,1,1,55,66,7936.507812,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
0,tcp,\x2d,CON,1,1,55,66,83333.328125,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0
0,tcp,\x2d,CON,1,1,55,66,28571.427734,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0
0,tcp,ssl,CON,14,14,4785,1913,49.614933,65330.003906,26123.181641,0,0,0,0,0.0,0.0,0,0,0,6,0,0,0,0
0,tcp,\x2d,CON,1,1,55,66,21276.595703,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,3,0,0,0,0
0,tcp,\x2d,CON,2,2,175,172,46.405148,10889.741211,10642.24707,0,0,0,0,0.0,0.0,0,0,0,7,0,0,0,0
0,tcp,\x2d,CON,2,2,164,160,36.886303,8065.805176,7869.078125,0,0,0,0,0.0,0.0,0,0,0,8,0,0,0,0
0,tcp,\x2d,CON,2,2,164,160,36.800785,8047.10498,7850.834473,0,0,0,0,0.0,0.0,0,0,0,9,0,0,0,0
0,udp,\x2d,INT,1,0,86,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
0,udp,\x2d,INT,1,0,86,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0
0,udp,\x2d,INT,4,0,844,0,1.012646,1709.345703,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
0,udp,\x2d,INT,4,0,844,0,0.987531,1666.953003,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
0,tcp,\x2d,CON,2,2,164,160,18.955189,4144.868164,4043.773682,0,0,0,0,0.0,0.0,0,0,0,10,0,0,0,0
0,udp,dns,REQ,15,0,1340,0,2.884108,2061.724854,0.0,0,0,0,0,0.0,0.0,0,0,0,1,4,0,0,0
0,udp,quic,CON,92,163,20427,159882,54.028286,34382.410156,270400.09375,0,0,0,0,0.0,0.0,0,0,0,11,0,0,0,0
0,udp,dns,INT,1,0,87,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,5,0,0,0
0,udp,dns,INT,1,0,424,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,6,0,0,0
0,udp,dns,INT,1,0,424,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,7,0,0,0
0,udp,quic,CON,78,189,11728,212916,130.132584,45313.539062,828895.6875,0,0,0,0,0.0,0.0,0,0,0,12,0,0,0,0
0,udp,\x2d,INT,3,0,633,0,1.104195,1863.880371,0.0,0,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0
0,tcp,ssl,RST,4,4,228,327,503.090393,98318.242188,141440.28125,0,0,0,0,0.0,0.0,0,0,0,13,1,0,0,0
0,udp,quic,CON,16,19,7208,10866,74.312874,118166.21875,180012.015625,0,0,0,0,0.0,0.0,0,0,0,14,0,0,0,0
0,udp,dhcp,REQ,2,0,728,0,0.758659,2209.215332,0.0,0,0,0,0,0.0,0.0,0,0,0,1,1,0,0,0
0,udp,dhcp,REQ,1,0,590,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,1,0,0,0
0,tcp,ssl,CON,69,94,12152,125659,48.768871,28842.273438,299411.96875,0,1,0,0,0.0,0.0,0,0,0,15,0,0,0,0
0,tcp,\x2d,CON,9,9,8835,670,92.324066,341229.75,25894.185547,0,0,0,0,0.0,0.0,0,0,0,16,1,0,0,0
0,udp,quic,CON,209,573,42614,685040,381.782745,165856.984375,2674317.25,0,0,0,0,0.0,0.0,0,0,0,17,0,0,0,0
0,tcp,ssl,CON,10,8,2555,6891,93.452286,101148.359375,265184.625,0,0,0,0,0.0,0.0,0,0,0,18,0,0,0,0
0,udp,quic,CON,17,18,7778,13376,242.061798,416972.8125,719521.5625,0,0,0,0,0.0,0.0,0,0,0,19,0,0,0,0
0,tcp,ssl,CON,11,9,2640,9406,132.398636,133792.3125,466098.96875,0,0,0,0,0.0,0.0,0,0,0,20,0,0,0,0
0,tcp,ssl,CON,2,2,161,157,24.196671,5226.480957,5097.431641,0,0,0,0,0.0,0.0,0,0,0,21,1,0,0,0
0,udp,quic,CON,9,8,4215,2000,51.984509,97392.976562,45486.445312,0,0,0,0,0.0,0.0,0,0,0,22,1,0,0,0
0,udp,quic,CON,17,17,8151,12130,178.821075,332585.53125,494933.40625,0,0,0,0,0.0,0.0,0,0,0,23,0,0,0,0
0,tcp,ssl,CON,13,11,2751,12183,157.523468,139168.546875,606862.5625,0,0,0,0,0.0,0.0,0,0,0,24,0,0,0,0
0,udp,quic,CON,14,16,8627,8215,157.081116,347138.4375,333748.625,0,0,0,0,0.0,0.0,0,0,0,25,0,0,0,0
0,udp,quic,CON,15,15,5300,10316,162.104462,221222.28125,430594.15625,0,0,0,0,0.0,0.0,0,0,0,26,0,0,0,0
0,udp,quic,CON,10,12,5015,4744,171.186813,294376.125,283615.8125,0,0,0,0,0.0,0.0,0,0,0,27,0,0,0,0
0,tcp,ssl,CON,12,10,2656,12550,164.589706,152676.546875,708206.0,0,0,0,0,0.0,0.0,0,0,0,28,0,0,0,0
0,udp,quic,CON,20,19,9707,11760,233.294861,452935.84375,547236.0625,0,0,0,0,0.0,0.0,0,0,0,29,0,0,0,0
0,udp,dns,REQ,8,0,728,0,1.797562,1308.624878,0.0,0,0,0,0,0.0,0.0,0,0,0,2,8,0,0,0
0,udp,quic,CON,36,59,7391,52050,192.363968,117644.890625,837691.875,0,0,0,0,0.0,0.0,0,0,0,30,0,0,0,0
0,udp,quic,CON,23,25,6489,12908,40.410049,42693.648438,85235.976562,0,0,0,0,0.0,0.0,0,0,0,31,0,0,0,0
0,tcp,ssl,CON,22,21,9959,15193,48.91872,88584.8125,134829.3125,0,0,0,0,0.0,0.0,0,0,0,32,0,0,0,0
0,udp,quic,CON,30,31,11022,14213,56.199192,79840.320312,103069.320312,0,0,0,0,0.0,0.0,0,0,0,33,0,0,0,0
0,udp,quic,CON,17,18,7674,11369,99.581169,169241.125,251600.609375,0,0,0,0,0.0,0.0,0,0,0,34,0,0,0,0
0,tcp,ssl,CON,9,7,2477,6818,42.782333,50243.570312,133343.96875,0,0,0,0,0.0,0.0,0,0,0,35,0,0,0,0
0,udp,\x2d,INT,4,0,844,0,0.99571,1680.758057,0.0,0,0,0,0,0.0,0.0,0,0,0,3,0,0,0,0
0,udp,quic,CON,13,13,4873,10868,207.09079,298144.46875,664811.125,0,0,0,0,0.0,0.0,0,0,0,36,0,0,0,0
0,udp,quic,CON,18,20,8740,12311,109.941696,196231.078125,278027.6875,0,0,0,0,0.0,0.0,0,0,0,37,0,0,0,0
0,udp,quic,CON,25,26,12999,15083,31.828503,63555.152344,73857.40625,0,0,0,0,0.0,0.0,0,0,0,38,0,0,0,0
0,udp,dns,REQ,1,0,87,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,3,9,0,0,0
0,udp,dns,REQ,1,0,87,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,4,10,0,0,0
0,udp,dns,REQ,1,0,87,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,5,11,0,0,0
0,udp,quic,CON,15,14,6719,10158,157.59288,282406.4375,424735.34375,0,0,0,0,0.0,0.0,0,0,0,39,0,0,0,0
0,tcp,\x2d,CON,1,1,55,66,6172.839844,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,4,0,0,0,0
0,udp,\x2d,INT,1,0,167,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0
0,tcp,\x2d,CON,5,16,2328,21068,139.299057,103805.65625,1100574.0,0,0,0,0,0.0,0.0,0,0,0,5,0,0,0,0
0,udp,quic,CON,1955,2692,286388,3124200,955.619019,471008.6875,5138935.0,0,0,0,0,0.0,0.0,0,0,0,40,0,0,0,0
0,tcp,ssl,CON,8,5,2399,4325,188.949585,264529.4375,435843.71875,0,0,0,0,0.0,0.0,0,0,0,41,0,0,0,0
0,udp,quic,CON,18,29,3268,22649,16.565008,8893.249023,62998.886719,0,0,0,0,0.0,0.0,0,0,0,42,1,0,0,0
0,tcp,\x2d,CON,2,2,164,160,35.454708,7752.762695,7563.670898,0,0,0,0,0.0,0.0,0,0,0,43,1,0,0,0
0,tcp,\x2d,CON,2,2,164,160,32.723583,7155.556641,6981.03125,0,0,0,0,0.0,0.0,0,0,0,44,1,0,0,0
0,udp,dns,INT,2,0,170,0,0.976643,664.117004,0.0,0,0,0,0,0.0,0.0,0,0,0,0,12,0,0,0
0,tcp,\x2d,CON,2,2,160,156,66.374619,14159.917969,13805.919922,0,0,0,0,0.0,0.0,0,0,0,45,0,0,0,0
0,udp,quic,CON,88,86,34446,81829,142.686188,224701.875,533649.625,0,0,0,0,0.0,0.0,0,0,0,46,0,0,0,0
0,tcp,\x2d,CON,2,2,175,172,74.283173,17431.783203,17035.607422,0,0,0,0,0.0,0.0,0,0,0,47,0,0,0,0
0,tcp,\x2d,CON,2,2,175,172,36.141964,8481.314453,8288.557617,0,0,0,0,0.0,0.0,0,0,0,48,0,0,0,0
0,udp,\x2d,INT,1,0,86,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,0,0
0,tcp,ssl,CON,23,22,8699,9926,31.173571,47162.777344,53703.558594,0,0,0,0,0.0,0.0,0,0,0,49,0,0,0,0
0,udp,dhcp,REQ,1,0,364,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,2,2,0,0,0
